,Date,Steps
0,2024-08-31,0
1,2024-09-01,0
2,2024-09-02,0
3,2024-09-03,0
4,2024-09-04,0
5,2024-09-05,0
6,2024-09-06,0
7,2024-09-07,0
8,2024-09-08,0
9,2024-09-09,1607
10,2024-09-10,8948
11,2024-09-11,8367
12,2024-09-12,5970
13,2024-09-13,3492
14,2024-09-14,10609
15,2024-09-15,2658
16,2024-09-16,6137
17,2024-09-17,9726
18,2024-09-18,6738
19,2024-09-19,5140
20,2024-09-20,5480
21,2024-09-21,1735
22,2024-09-22,3331
23,2024-09-23,5211
24,2024-09-24,9527
25,2024-09-25,5173
26,2024-09-26,6040
27,2024-09-27,5770
28,2024-09-28,1495
29,2024-09-29,4346
